24,Joskee,******,1,jonas@gmail.com,1,
28,bilal,******,1,bilal.Bjo@gmail.nl,0,
29,bilal,bilal123,0,bilal.bjo@student.ehb,0,
30,basill,****,1,bilal.bjo@student.ehb,0,
31,"Select * from LOGIN.1.2",******,1,bilal.bjo@student.ehb,0,
32,ezfoijazife,******,1,Seppe@gmail.com,1,23
33,karinnn,******,1,bilal.bjo@student.ehb,1,0
34,Laura,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal.bjo@student.ehb,1,
35,Richard,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal.bjo@student.ehb,0,
36,kenny,******,1,bilal.bjo@student.eh,1,
37,adil,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal.bjo@student.ehb,1,
38,dylan,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal.bjo@student.ehb,1,
39,mohsine,d24c8d5c0710c926b127ef22f1b025b4edeea1847f25e9c9fdaedd576b4251d7ddf6fe7492203aa010ee4299b5c2003f29b48a298997024310a28a7f267d403,1,mo@fu.shine,1,
40,bilal,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal@gmail.com,0,
41,bilaltestsalt,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,1,bilal@gmail.com,1,23
42,jan,f614430c82db9fe2f1fcf0f91c111b3b60337bd32af626bdfeeec4ed89899077ca9e70f4ac3d26dc375caea052566704997788d5da3b8a8a26978bbde923a1e2,0,piet@gmail.com,1,
43,Belal,3dd28c5a23f780659d83dd99981e2dcb82bd4c4bdc8d97a7da50ae84c7a7229a6dc0ae8ae4748640a4cc07ccc2d55dbdc023a99b3ef72bc6ce49e30b84253dae,0,gmail@mail.google,1,
44,bilalal,d24c8d5c0710c926b127ef22f1b025b4edeea1847f25e9c9fdaedd576b4251d7ddf6fe7492203aa010ee4299b5c2003f29b48a298997024310a28a7f267d403,0,bilal@gmail.com,1,
45,bilalaaaaa,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,0,bilal@gmail.com,1,
46,lol,3dd28c5a23f780659d83dd99981e2dcb82bd4c4bdc8d97a7da50ae84c7a7229a6dc0ae8ae4748640a4cc07ccc2d55dbdc023a99b3ef72bc6ce49e30b84253dae,1,lo@lol.Com,0,
47,Joran123,yolo123,1,joran@gmail.comm,0,
48,vador,vador123,0,ani.vador@deathstar.Galaxy,0,
49,john,36e66f9a4483ea1fdadf2301c22ce34c639cd3e6d8a7df0a7d3df359b221773db02d15d990f0c6af33237e69a15799116731eff046a5f7d8dd2730ea01c27785,0,yolo@jan.com,0,
50,tom,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,0,tom@gmail.com,1,
51,jazeiofzapeif,6e129577401e5771e68922b2a197b62e9c400213c987aa0e6e5cc3a4f8c6679128c777d6c1e3b479aecc49f21f4b295bbc73b65969197653805fd2e500d6ed7b,0,bijaziofpjz@jcoizejcp.com,1,
53,45645345343,******,1,bilal-ball@hotmail.fr,1,30
54,seppesuperadmin,e06d2dae79e2a79ae4845427cd2be63795a0818d8bdfabaa56b271c8bd95f9c3ca297699bed7ea93cb44461a890b002c9e7755345d33f64996317c919a484801,1,seppe@gmail.com,1,38
55,1,ede6b4fe5a41df82cf8dd6e45542448102c687c67417c2045aed6c73d67d3a4f4a4dc49f15475f192d007e849012536837df5ca36106783e619847b5bc212e61,0,oussama@maiok.com,1,49
99,INTERNET,******,1,norman@gmail.com,1,0
100,normuser,4362eaff816af4b52ef14a7f11087edf7ffe208b92839da66fe96e46303f9c38cc7efd79027682d3851f2fca9cd82b100c3f725950b25bfef944433738322056,0,norm@user.com,1,27
101,bilalsuperadmin,7535940be18fea7945ffcd9cc99f2aaa241a0ceee7c196cfb8b229ee1631339a64d52f9b2975c947d33457a824c42142b60c2c4c9da7643c5896bc4ff47087a7,1,bilal.bahjaoui@student.ehb.be,1,9
